date,Open,Q,H,Close,Volume,Close_time,Qoute_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Can_be_ignored
1636772400000,63702.78000000,63844.20000000,63687.71000000,63725.23000000,0.77120200,1636772699999,49152.01320676,147,0.76280500,48616.80947139,0
1636772700000,63707.04000000,63725.51000000,63108.10000000,63647.41000000,0.65564200,1636772999999,41704.23881604,138,0.53743200,34217.11969995,0
1636773000000,63639.91000000,63709.37000000,63639.91000000,63708.84000000,0.55643200,1636773299999,35436.14046220,99,0.54492700,34703.42319552,0
1636773300000,63710.36000000,63776.12000000,63703.24000000,63776.12000000,0.42541100,1636773599999,27116.17327500,83,0.41076900,26182.81396712,0
1636773600000,63777.68000000,63781.19000000,63731.72000000,63752.51000000,0.31060600,1636773899999,19799.68867275,61,0.30796900,19631.53491085,0
1636773900000,63754.46000000,63834.73000000,63754.46000000,63789.21000000,0.45863200,1636774199999,29258.99947397,91,0.44707000,28521.45155445,0
1636774200000,63789.93000000,63791.04000000,63658.69000000,63724.49000000,0.36015300,1636774499999,22948.49429836,78,0.35409500,22562.57512762,0
1636774500000,63717.73000000,63725.70000000,63664.36000000,63693.44000000,0.32137700,1636774799999,20467.19672211,68,0.30827400,19632.54650975,0
1636774800000,63691.75000000,63843.48000000,63671.48000000,63840.05000000,0.70589300,1636775099999,44993.88663147,140,0.69535400,44322.31667955,0
1636775100000,63842.08000000,63870.13000000,63774.14000000,63841.61000000,0.57196600,1636775399999,36499.93591387,110,0.56403400,35993.70429564,0
1636775400000,63849.48000000,63858.61000000,63752.92000000,63752.92000000,0.31802900,1636775699999,20297.61595122,64,0.30956700,19757.58025358,0
1636775700000,63750.61000000,63783.44000000,63644.00000000,63777.07000000,0.79138100,1636775999999,50451.28141402,132,0.47652200,30384.82879107,0
1636776000000,63773.93000000,63892.30000000,63736.70000000,63891.61000000,0.89532800,1636776299999,57146.64740918,167,0.87591800,55908.25759746,0
1636776300000,63889.57000000,63922.98000000,63758.27000000,63758.27000000,0.51762800,1636776599999,33043.42200465,111,0.51096700,32618.25463301,0
1636776600000,63738.86000000,63747.23000000,63655.13000000,63686.70000000,0.35451300,1636776899999,22581.00691912,70,0.35111100,22364.29801729,0
1636776900000,63683.40000000,63723.62000000,63555.01000000,63605.24000000,0.91827600,1636777199999,58439.57881255,176,0.80079700,50961.68623771,0
1636777200000,63600.98000000,63719.08000000,63600.98000000,63688.01000000,0.56095000,1636777499999,35714.46233044,108,0.55151400,35113.63694689,0
1636777500000,63689.29000000,63790.65000000,63689.29000000,63790.65000000,0.54044700,1636777799999,34448.77723605,95,0.53520900,34114.92728581,0
1636777800000,63791.88000000,63864.14000000,63791.88000000,63854.26000000,0.67935600,1636778099999,43369.62173576,130,0.66247500,42291.85063586,0
1636778100000,63854.27000000,63854.27000000,63734.06000000,63765.82000000,0.48893500,1636778399999,31188.64066980,87,0.32730900,20881.56637018,0
1636778400000,63765.82000000,63809.39000000,63741.87000000,63796.72000000,0.62064100,1636778699999,39571.96482350,101,0.61854600,39438.42037599,0
1636778700000,63794.12000000,63907.43000000,63764.20000000,63825.58000000,0.70678500,1636778999999,45109.19966950,140,0.63916200,40793.12902823,0
1636779000000,63824.75000000,63827.74000000,62161.48000000,63719.34000000,1.53617500,1636779299999,97210.04694398,149,0.41279200,26326.71347820,0
1636779300000,63721.70000000,63721.70000000,63617.00000000,63700.00000000,0.78009700,1636779599999,49660.64712023,161,0.63756000,40585.71635886,0
1636779600000,63708.24000000,63714.43000000,63594.06000000,63609.96000000,0.74395100,1636779899999,47341.28626953,147,0.73292000,46639.29130552,0
1636779900000,63607.44000000,63689.81000000,63596.16000000,63674.65000000,0.64398000,1636780199999,40979.19395325,133,0.63311700,40287.74881374,0
1636780200000,63677.96000000,63709.67000000,63605.02000000,63633.61000000,0.62215600,1636780499999,39596.75375650,127,0.61077500,38872.27201807,0
1636780500000,63636.17000000,63846.90000000,63629.94000000,63782.00000000,0.85158400,1636780799999,54286.39263186,179,0.83064000,52951.37847114,0
1636780800000,63783.67000000,63797.09000000,63748.94000000,63753.73000000,0.40359600,1636781099999,25737.84916763,77,0.40080100,25559.60137791,0
1636781100000,63751.20000000,63759.18000000,63652.42000000,63679.63000000,0.29633700,1636781399999,18874.03411739,60,0.29196900,18595.71260062,0
1636781400000,63683.06000000,63697.63000000,63592.69000000,63595.95000000,0.43803900,1636781699999,27877.94685940,86,0.43063500,27406.71657076,0
1636781700000,63592.53000000,63662.30000000,63510.00000000,63618.55000000,1.64982400,1636781999999,104897.21607899,328,1.32406500,84178.94400846,0
1636782000000,63616.90000000,63696.49000000,63550.01000000,63669.23000000,0.99858800,1636782299999,63554.67950807,214,0.52675300,33529.35184821,0
1636782300000,63669.91000000,63739.99000000,63669.91000000,63724.22000000,0.61996900,1636782599999,39503.89950805,118,0.61072200,38914.73912215,0
1636782600000,63724.21000000,63731.81000000,63564.23000000,63564.98000000,0.46881800,1636782899999,29846.92196363,89,0.46281000,29464.42680013,0
1636782900000,63564.01000000,63662.46000000,63564.01000000,63602.48000000,0.54048700,1636783199999,34384.36058378,110,0.53332500,33928.74852090,0
1636783200000,63597.54000000,63743.11000000,63583.35000000,63685.21000000,0.76365200,1636783499999,48618.43051128,145,0.75743900,48222.70806778,0
1636783500000,63682.03000000,63806.56000000,63682.03000000,63711.77000000,0.59174500,1636783799999,37717.29525238,124,0.58394400,37220.00766347,0
