Open_time,Open,High,Close,Volume,Close_time,Qoute_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Can_be_ignored
1633518000000,51160.35000000,55548.10000000,40782.46000000,51300.02000000,22.48495100,1633521599999,1137431.89081773,3385,18.32605100,940748.04743594,0
1633521600000,51290.47000000,69999.99000000,40782.46000000,52748.06000000,25.07948200,1633525199999,1301935.61399258,4309,22.37357300,1165566.95508285,0
1633525200000,52741.68000000,61873.42000000,40782.46000000,53983.22000000,26.89219400,1633528799999,1452423.39502173,5054,24.43129300,1319431.87199414,0
1633528800000,53988.42000000,61873.42000000,40782.46000000,54502.93000000,26.65231500,1633532399999,1428159.48571699,5169,23.22985800,1258360.02033559,0
1633532400000,54504.30000000,62126.58000000,40782.46000000,55007.67000000,24.43298100,1633535999999,1309221.58971591,4693,20.90545500,1141901.25577577,0
1633536000000,54987.05000000,58343.44000000,40782.46000000,54891.35000000,21.75444100,1633539599999,1171862.50538517,4090,19.39074100,1059445.55130342,0
1633539600000,54891.74000000,58343.44000000,40782.46000000,54578.21000000,20.16295000,1633543199999,1096371.10518799,3825,18.63914300,1020338.09998863,0
1633543200000,54581.22000000,55097.99000000,45000.00000000,54525.61000000,18.39743100,1633546799999,1004539.37636860,3577,17.11052200,936786.74271064,0
1633546800000,54527.81000000,57569.62000000,54514.47000000,55050.00000000,17.53484400,1633550399999,961700.78546739,3575,15.81791500,867413.86209020,0
1633550400000,55050.00000000,55367.05000000,50499.40000000,54926.25000000,17.83410500,1633553999999,981816.47455212,3964,16.47705900,907845.39708736,0
1633554000000,54918.25000000,55263.14000000,54884.11000000,55080.23000000,13.12800800,1633557599999,723025.85608614,2858,12.27530600,676047.45321059,0
1633557600000,55075.36000000,55251.30000000,54899.01000000,55148.00000000,13.90250000,1633561199999,765804.52729179,2835,13.11628400,722488.54243135,0
1633561200000,55150.23000000,55741.36000000,55119.09000000,55315.89000000,17.90510100,1633564799999,991396.59589499,3760,16.49382200,913231.82639466,0
1633564800000,55312.34000000,55701.12000000,45000.00000000,54803.54000000,19.64096700,1633568399999,1071566.06392430,3528,17.82726000,978123.91916655,0
1633568400000,54794.62000000,54905.67000000,47189.87000000,54783.35000000,20.08181000,1633571999999,1095819.40786732,3758,19.12072300,1043430.30683097,0
1633572000000,54784.44000000,55219.92000000,54685.51000000,55075.57000000,15.49211200,1633575599999,851838.28959378,3069,14.17204100,779197.99193936,0
1633575600000,55071.21000000,55215.59000000,54260.57000000,54807.72000000,16.31023400,1633579199999,896185.31412334,3116,15.47555400,850378.06469117,0
1633579200000,54808.19000000,55226.09000000,54762.46000000,55073.22000000,14.64987200,1633582799999,806360.19508402,3085,12.85039800,707282.28725316,0
1633582800000,55073.16000000,55073.16000000,54531.65000000,54732.93000000,15.06284600,1633586399999,824060.25440707,2784,14.16633300,775006.56119130,0
1633586400000,54734.34000000,54962.00000000,54302.58000000,54531.85000000,14.70895800,1633589999999,803960.52143136,2890,13.75448600,751823.35779709,0
1633590000000,54532.18000000,54871.21000000,51217.36000000,54749.17000000,24.84295000,1633593599999,1353431.77133908,6699,20.05577000,1094006.90560294,0
1633593600000,54743.24000000,54781.61000000,46177.22000000,54538.31000000,31.02761800,1633597199999,1647006.20378392,7205,26.65181200,1411983.28329619,0
1633597200000,54538.31000000,54541.05000000,51746.84000000,54293.41000000,25.15069400,1633600799999,1362680.34654614,6645,21.80334500,1181239.94388724,0
1633600800000,54300.00000000,54427.80000000,53726.32000000,53906.63000000,22.24935000,1633604399999,1203120.38294199,6124,19.44667000,1051489.56470583,0
1633604400000,53906.62000000,54360.24000000,53415.89000000,54298.62000000,22.20833500,1633607999999,1200791.30432776,6037,17.97048500,972229.42763221,0
1633608000000,54298.55000000,54353.69000000,53600.00000000,53975.00000000,18.73539400,1633611599999,1012774.18595383,3820,17.08059900,923152.64658478,0
1633611600000,53983.13000000,54689.82000000,53772.16000000,54571.06000000,19.23204300,1633615199999,1042213.64046036,3828,17.89790500,969742.70775151,0
1633615200000,54564.61000000,54674.46000000,53415.89000000,53825.38000000,21.16918200,1633618799999,1146493.25515373,4263,19.22117500,1041020.28637001,0
1633618800000,53780.01000000,58343.44000000,53659.00000000,53895.05000000,15.20022100,1633622399999,821349.89458042,3122,14.81387000,800493.65798246,0
1633622400000,53899.99000000,54300.03000000,53415.89000000,54154.72000000,16.39081700,1633625999999,883111.27894362,3491,15.73946100,847973.19456952,0
1633626000000,54154.72000000,54306.02000000,54017.96000000,54170.20000000,14.68228900,1633629599999,795434.20326177,3077,13.31019600,721054.35655357,0
1633629600000,54164.95000000,60000.00000000,53829.55000000,53895.91000000,14.27354300,1633633199999,773180.36622575,2692,13.94871700,755642.46618196,0
1633633200000,53895.91000000,100000.00000000,42599.03000000,53958.02000000,24.06559800,1633636799999,1270057.60173596,3926,18.82342800,1009937.29203901,0
1633636800000,53962.76000000,54615.04000000,53834.52000000,54160.62000000,13.92211400,1633640399999,753128.75209520,2560,12.74408700,689415.94766602,0
1633640400000,54164.91000000,54500.00000000,53997.80000000,54272.90000000,11.98621300,1633643999999,650929.04216237,2746,11.18646400,607479.96306681,0
1633644000000,54274.00000000,54804.00000000,53765.05000000,53910.08000000,17.32448900,1633647599999,935410.61409740,3428,16.68276600,900674.47847944,0
1633647600000,53895.57000000,53953.39000000,53607.28000000,53779.81000000,11.73689600,1633651199999,631462.57747606,2170,11.49700000,618554.38144775,0
1633651200000,53785.22000000,54215.22000000,53715.01000000,54121.63000000,13.35468700,1633654799999,721226.19661566,2787,12.08587100,652598.76170057,0
